No.,Time,Source,Destination,Protocol,Length,Seq,Ack,Win,Len
884,43.498047,"81.131.67.131","210.146.64.4","TCP",66,332,77381,8760,0
885,43.81543,"211.28.6.30","81.131.67.131","TCP",1514,33793,1,7465,1460
886,43.81543,"81.131.67.131","211.28.6.30","TCP",54,1,35253,8760,0
887,44.09668,"210.146.64.4","81.131.67.131","TCP",1514,81761,332,6432,1460
888,44.09668,"81.131.67.131","210.146.64.4","TCP",66,332,77381,8760,0
899,44.393555,"210.146.64.4","81.131.67.131","TCP",1514,83221,332,6432,1460
900,44.393555,"81.131.67.131","210.146.64.4","TCP",66,332,77381,8760,0
901,44.393555,"65.223.109.8","81.131.67.131","TCP",62,0,1,5840,0
902,44.393555,"81.131.67.131","65.223.109.8","TCP",54,1,1,8760,0
904,44.674805,"211.28.6.30","81.131.67.131","TCP",1514,35253,1,7465,1460
905,44.674805,"81.131.67.131","211.28.6.30","TCP",54,1,36713,8760,0
906,44.710938,"68.34.169.230","81.131.67.131","TCP",81,385,25,64261,27
907,44.737305,"211.28.6.30","81.131.67.131","TCP",206,36713,1,7465,152
910,44.829102,"81.131.67.131","68.34.169.230","TCP",54,25,412,8218,0
911,44.842774,"38.115.4.204","81.131.67.131","TCP",449,12542,575,65503,395
912,44.842774,"81.131.67.131","38.115.4.204","TCP",62,575,12937,7431,8
913,44.929688,"81.131.67.131","211.28.6.30","TCP",54,1,36865,8608,0
914,45.118164,"210.146.64.4","81.131.67.131","TCP",1514,84681,332,6432,1460
915,45.118164,"81.131.67.131","210.146.64.4","TCP",66,332,77381,8760,0
917,45.197266,"24.11.146.28","81.131.67.131","TCP",349,2197,437,64875,295
918,45.197266,"81.131.67.131","24.11.146.28","TCP",66,437,319,9612,0
920,45.222657,"212.195.108.125","81.131.67.131","TCP",54,2809,477,15841,0
928,45.367188,"38.115.4.204","81.131.67.131","TCP",389,12937,575,65503,335
929,45.367188,"81.131.67.131","38.115.4.204","TCP",62,583,13272,7096,8
932,45.38086,"81.131.67.131","38.115.4.204","TCP",54,591,13272,8760,0
938,45.432618,"81.131.67.131","70.27.127.185","TCP",54,26,487,7704,0
939,45.446289,"81.131.67.131","142.68.189.57","TCP",54,25,696,9735,0
940,45.625977,"81.131.67.131","24.11.146.28","TCP",62,437,319,9612,8
941,45.672852,"210.146.64.4","81.131.67.131","TCP",1514,77381,332,6432,1460
942,45.672852,"81.131.67.131","210.146.64.4","TCP",54,332,86141,0,0
943,45.688477,"81.131.67.131","210.146.64.4","TCP",54,332,86141,3760,0
944,45.704102,"81.131.67.131","210.146.64.4","TCP",54,332,86141,8760,0
949,45.969727,"211.28.6.30","81.131.67.131","TCP",1078,36865,1,7465,1024
950,45.969727,"65.223.109.8","81.131.67.131","TCP",54,1,345,6432,0
952,46.047852,"81.131.57.207","81.131.67.131","TCP",62,0,8760,0,1460
953,46.047852,"81.131.67.131","81.131.57.207","TCP",54,1,1,0,0
955,46.079102,"38.115.4.204","81.131.67.131","TCP",133,13272,583,65495,79
956,46.079102,"81.131.67.131","38.115.4.204","TCP",62,591,13351,8681,8
957,46.094727,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",114,0,32768,0,1440
959,46.094727,"81.131.67.131","65.223.109.8","TCP",62,0,8760,0,1460
960,46.110352,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",98,0,1,17080,0
962,46.141602,"38.115.4.204","81.131.67.131","TCP",153,13351,583,65495,99
963,46.141602,"81.131.67.131","38.115.4.204","TCP",62,599,13450,8582,8
965,46.188477,"81.131.67.131","211.28.6.30","TCP",54,1,37889,7584,0
967,46.188477,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",94,97,217,33120,0
968,46.297852,"81.131.67.131","70.27.127.185","TCP",54,26,526,7665,0
969,46.297852,"81.131.67.131","142.68.189.57","TCP",54,25,832,9599,0
983,46.532227,"210.146.64.4","81.131.67.131","TCP",1514,86141,332,6432,1460
984,46.532227,"81.131.67.131","210.146.64.4","TCP",54,332,87601,8760,0
985,46.813477,"210.146.64.4","81.131.67.131","TCP",1514,87601,332,6432,1460
986,46.813477,"81.131.67.131","210.146.64.4","TCP",54,332,89061,8760,0
987,46.844727,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",94,1,1,33120,0
989,46.954102,"81.131.67.131","213.19.160.190","TCP",54,283,0,0
990,46.954102,"81.131.67.131","213.19.160.190","TCP",62,0,8760,0,1460
991,47.063477,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,217,208,16501,0
992,47.125977,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,1,1,33120,1220
993,47.282227,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,1221,17080,0
996,47.391602,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,1221,1,33120,1220
1007,47.610352,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,2441,17080,0
1008,47.657227,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,2441,1,33120,1220
1009,47.657227,"65.223.109.8","81.131.67.131","TCP",62,0,1,5840,0
1010,47.657227,"81.131.67.131","65.223.109.8","TCP",54,1,1,8760,0
1011,47.657227,"38.115.4.204","81.131.67.131","TCP",66,13450,583,65495,0
1012,47.672852,"81.131.67.131","38.115.4.204","TCP",62,607,13450,8582,8
1013,47.688477,"38.115.4.204","81.131.67.131","TCP",87,13450,583,65495,33
1017,47.750977,"38.115.4.204","81.131.67.131","TCP",66,13483,583,65495,0
1018,47.750977,"81.131.67.131","38.115.4.204","TCP",62,615,13483,8549,8
1023,47.829102,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,3661,17080,0
1024,47.938477,"81.131.67.131","142.68.189.57","TCP",54,25,860,9571,0
1025,48.063477,"210.146.64.4","81.131.67.131","TCP",1514,89061,332,6432,1460
1026,48.063477,"81.131.67.131","210.146.64.4","TCP",54,332,90521,8760,0
1027,48.172852,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,162,222,17001,0
1028,48.344727,"210.146.64.4","81.131.67.131","TCP",1514,90521,332,6432,1460
1029,48.344727,"81.131.67.131","210.146.64.4","TCP",54,332,91981,8760,0
1042,48.672852,"211.28.6.30","81.131.67.131","TCP",1514,37889,1,7465,1460
1044,48.672852,"213.19.160.190","81.131.67.131","TCP",62,0,1,5840,0
1045,48.672852,"81.131.67.131","213.19.160.190","TCP",54,1,1,8760,0
1046,48.672852,"81.131.67.131","211.28.6.30","TCP",54,1,39349,8760,0
1049,48.806641,"211.28.6.30","81.131.67.131","TCP",642,39349,1,7465,588
1051,49.00586,"81.131.67.131","211.28.6.30","TCP",54,1,39937,8172,0
1052,49.122071,"210.146.64.4","81.131.67.131","TCP",1514,91981,332,6432,1460
1053,49.122071,"81.131.67.131","210.146.64.4","TCP",54,332,93441,8760,0
1054,49.410157,"210.146.64.4","81.131.67.131","TCP",1514,93441,332,6432,1460
1056,49.411133,"81.131.67.131","210.146.64.4","TCP",54,332,94901,8760,0
1057,49.423828,"68.34.169.230","81.131.67.131","TCP",69,412,25,64261,15
1066,49.609375,"81.131.67.131","68.34.169.230","TCP",54,25,427,8203,0
1067,49.625,"81.131.67.131","70.27.127.185","TCP",54,26,560,7631,0
1068,49.671875,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,3661,1,33120,1220
1069,49.828125,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,4881,17080,0
1070,49.90625,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,4881,1,33120,1220
1072,50.046875,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,6101,17080,0
1073,50.1875,"211.28.6.30","81.131.67.131","TCP",1514,39937,1,7465,1460
1074,50.1875,"81.131.67.131","211.28.6.30","TCP",54,1,41397,8760,0
1075,50.453125,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,6101,1,33120,1220
1076,50.59375,"81.131.67.131","65.223.109.8","TCP",410,1,1,8760,356
1077,50.59375,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,7321,17080,0
1085,50.703125,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,7321,1,33120,1220
1091,50.8125,"211.28.6.30","81.131.67.131","TCP",642,41397,1,7465,588
1092,50.869141,"38.115.4.204","81.131.67.131","TCP",66,13483,583,65495,0
1093,50.869141,"81.131.67.131","38.115.4.204","TCP",62,583,13483,8549,8
1094,50.869141,"38.115.4.204","81.131.67.131","TCP",126,13483,583,65495,72
1095,50.913086,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,8541,17080,0
1096,51.013672,"81.131.67.131","38.115.4.204","TCP",54,623,13555,8477,0
1097,51.026368,"81.131.67.131","211.28.6.30","TCP",54,1,41985,8172,0
1098,51.131836,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,8541,1,33120,1220
1099,51.31543,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,9761,17080,0
1100,51.367188,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,9761,1,33120,1220
1101,51.393555,"65.223.109.8","81.131.67.131","TCP",54,1,357,6432,0
1106,51.486328,"38.115.4.204","81.131.67.131","TCP",66,13555,583,65495,0
1107,51.486328,"81.131.67.131","38.115.4.204","TCP",62,623,13555,8477,8
1108,51.516602,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,10981,17080,0
1109,51.625977,"81.131.67.131","65.223.109.8","TCP",54,1065,698,8063,0
1110,51.625977,"81.131.67.131","65.223.109.8","TCP",54,357,233,8528,0
1111,51.641602,"81.131.67.131","213.19.160.190","TCP",354,1,1,8760,300
1112,51.735352,"38.115.4.204","81.131.67.131","TCP",1128,13555,583,65495,1074
1113,51.735352,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",94,222,163,33120,0
1124,51.844727,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,163,0,0
1125,51.938477,"211.28.6.30","81.131.67.131","TCP",1078,41985,1,7465,1024
1126,51.938477,"81.131.67.131","211.28.6.30","TCP",54,1,43009,8760,0
1127,51.954102,"81.131.67.131","38.115.4.204","TCP",54,631,14629,7403,0
1128,52.235352,"210.146.64.4","81.131.67.131","TCP",1514,96361,332,6432,1460
1129,52.235352,"81.131.67.131","210.146.64.4","TCP",66,332,94901,8760,0
1131,52.250977,"213.19.160.190","81.131.67.131","TCP",54,1,301,6432,0
1132,52.313477,"213.19.160.190","81.131.67.131","TCP",353,1,301,6432,299
1133,52.391602,"81.131.67.131","213.19.160.190","TCP",54,301,300,8461,0
1134,52.610352,"213.19.160.190","81.131.67.131","TCP",1514,300,301,6432,1460
1136,52.610352,"81.131.67.131","213.19.160.190","TCP",54,301,1760,8760,0
1145,52.891602,"210.146.64.4","81.131.67.131","TCP",1514,97821,332,6432,1460
1152,52.969727,"81.131.67.131","210.146.64.4","TCP",66,332,94901,8760,0
1154,53.188477,"210.146.64.4","81.131.67.131","TCP",1514,99281,332,6432,1460
1155,53.188477,"81.131.67.131","210.146.64.4","TCP",66,332,94901,8760,0
1156,53.469727,"210.146.64.4","81.131.67.131","TCP",1514,100741,332,6432,1460
1157,53.469727,"81.131.67.131","210.146.64.4","TCP",66,332,94901,8760,0
1158,53.500977,"68.34.169.230","81.131.67.131","TCP",91,427,25,64261,37
1159,53.594727,"81.131.67.131","68.34.169.230","TCP",54,25,464,8166,0
1160,53.735352,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,10981,1,33120,1220
1161,53.922852,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,12201,17080,0
1167,53.985352,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,12201,1,33120,1220
1179,54.141602,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,13421,17080,0
1180,54.282227,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,13421,1,33120,1220
1181,54.469727,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,14641,17080,0
1182,54.532227,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,14641,1,33120,1220
1183,54.688477,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,15861,17080,0
1184,54.719727,"211.28.6.30","81.131.67.131","TCP",1078,43009,1,7465,1024
1185,54.789063,"81.131.67.131","211.28.6.30","TCP",54,1,44033,7736,0
1186,54.941407,"211.28.6.30","81.131.67.131","TCP",1078,44033,1,7465,1024
1187,54.941407,"81.131.67.131","211.28.6.30","TCP",54,1,45057,8760,0
1193,55.204102,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,15861,1,33120,1220
1201,55.392578,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,17081,17080,0
1202,55.44043,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,17081,1,33120,1220
1203,55.465821,"65.223.109.8","81.131.67.131","TCP",66,233,357,6432,0
1206,55.59375,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,18301,17080,0
1207,55.705078,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,18301,1,33120,1220
1208,55.923828,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,19521,17080,0
1209,55.970703,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,19521,1,33120,1220
1210,56.142578,"81.131.67.131","24.11.146.28","TCP",62,437,319,9612,8
1211,56.142578,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,20741,17080,0
1216,56.205078,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,20741,1,33120,1220
1222,56.267578,"38.115.4.204","81.131.67.131","TCP",370,15332,631,65447,316
1223,56.267578,"213.19.160.190","81.131.67.131","TCP",66,1760,301,6432,0
1224,56.267578,"81.131.67.131","38.115.4.204","TCP",66,631,14629,7403,0
1225,56.283203,"81.131.67.131","38.115.4.204","TCP",62,631,14629,7403,8
1226,56.345703,"213.19.160.190","81.131.67.131","TCP",353,1,301,6432,299
1227,56.345703,"81.131.67.131","213.19.160.190","TCP",54,301,1760,8760,0
1229,56.361328,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1231,56.642578,"210.146.64.4","81.131.67.131","TCP",1514,102201,332,6432,1460
1232,56.642578,"81.131.67.131","210.146.64.4","TCP",66,332,94901,8760,0
1233,56.751953,"213.19.160.190","81.131.67.131","TCP",584,3220,301,6432,530
1234,56.751953,"81.131.67.131","213.19.160.190","TCP",66,301,1760,8760,0
1238,57.048828,"210.146.64.4","81.131.67.131","TCP",1514,94901,332,6432,1460
1239,57.048828,"81.131.67.131","210.146.64.4","TCP",54,332,103661,0,0
1240,57.064453,"81.131.67.131","210.146.64.4","TCP",54,332,103661,3760,0
1241,57.080078,"68.34.169.230","81.131.67.131","TCP",75,464,25,64261,21
1242,57.080078,"81.131.67.131","210.146.64.4","TCP",54,332,103661,8760,0
1243,57.080078,"81.131.67.131","68.34.169.230","TCP",78,25,485,8145,24
1252,57.314453,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,25621,1,33120,1220
1254,57.330078,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1256,57.392578,"81.131.67.131","212.195.108.125","TCP",62,477,1389,9778,8
1257,57.548828,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,26841,1,33120,1220
1258,57.548828,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1263,57.830078,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,28061,1,33120,1220
1264,57.830078,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1268,58.001953,"81.131.67.131","70.27.127.185","TCP",177,26,626,7565,123
1269,58.064453,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,29281,1,33120,1220
1270,58.080078,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1271,58.095703,"70.27.127.185","81.131.67.131","TCP",54,626,149,65535,0
1272,58.095703,"142.68.189.57","81.131.67.131","TCP",76,860,25,16870,22
1273,58.220703,"81.131.67.131","142.68.189.57","TCP",54,25,882,9549,0
1274,58.330078,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,30501,1,33120,1220
1275,58.330078,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1282,58.642578,"211.28.6.30","81.131.67.131","TCP",1514,45057,1,7465,1460
1283,58.642578,"81.131.67.131","211.28.6.30","TCP",54,1,46517,8760,0
1284,58.934571,"2001:638:902:1:201:2ff:fee2:7596","2002:5183:4383::5183:4383","TCP",1314,31721,1,33120,1220
1285,58.934571,"2002:5183:4383::5183:4383","2001:638:902:1:201:2ff:fee2:7596","TCP",94,1,21961,17080,0
1286,59.052735,"211.28.6.30","81.131.67.131","TCP",642,46517,1,7465,588
